ticker,expiry,strike,mid_call,mid_put,lhs,rhs,parity_gap
SPY,2026-09-30,765.0,22.125,9.47,12.655,14.10282820218572,-1.44782820218572
SPY,2026-09-30,766.0,21.68,9.76,11.92,13.107705547936689,-1.1877055479366891
SPY,2026-09-30,767.0,20.87,10.06,10.81,12.112582893687659,-1.3025828936876582
SPY,2026-09-30,768.0,20.19,10.37,9.820000000000002,11.117460239438628,-1.2974602394386263
SPY,2026-09-30,769.0,19.5,10.69,8.81,10.122337585189598,-1.3123375851895975
SPY,2026-09-30,770.0,18.43,11.02,7.41,9.127214930940568,-1.7172149309405675
SPY,2026-09-30,771.0,18.165,11.365,6.799999999999999,8.132092276691537,-1.3320922766915384
SPY,2026-09-30,772.0,17.509999999999998,11.72,5.789999999999997,7.136969622442507,-1.3469696224425096
SPY,2026-09-30,773.0,16.87,12.09,4.780000000000001,6.141846968193477,-1.3618469681934755
SPY,2026-09-30,774.0,16.25,12.47,3.7799999999999994,5.146724313944446,-1.366724313944447
SPY,2026-09-30,775.0,15.61,12.86,2.75,4.151601659695416,-1.401601659695416
SPY,2026-09-30,776.0,15.01,13.26,1.75,3.1564790054463856,-1.4064790054463856
SPY,2026-09-30,777.0,14.42,13.68,0.7400000000000002,2.1613563511973553,-1.421356351197355
SPY,2026-09-30,778.0,13.845,14.11,-0.2649999999999988,1.166233696948325,-1.4312336969483237
SPY,2026-09-30,779.0,13.285,14.56,-1.2750000000000004,0.17111104269929456,-1.446111042699295
SPY,2026-09-30,780.0,12.735,15.01,-2.2750000000000004,-0.8240116115497358,-1.4509883884502646
SPY,2026-09-30,781.0,12.195,15.49,-3.295,-1.8191342657987661,-1.4758657342012338
SPY,2026-09-30,782.0,11.675,15.97,-4.295,-2.8142569200477965,-1.4807430799522034
SPY,2026-09-30,784.0,10.675,16.98,-6.305,-4.804502228545857,-1.5004977714541425
SPY,2026-09-30,785.0,10.195,17.509999999999998,-7.314999999999998,-5.7996248827948875,-1.5153751172051102
SPY,2026-09-30,786.0,9.725,18.05,-8.325000000000001,-6.794747537043918,-1.5302524629560832
SPY,2026-09-30,790.0,8.004999999999999,20.21,-12.205000000000002,-10.77523815404004,-1.4297618459599626
SPY,2026-09-30,800.0,4.665,26.75,-22.085,-20.72646469653023,-1.3585353034697718
SPY,2026-09-30,810.0,2.525,35.114999999999995,-32.589999999999996,-30.677691239020533,-1.9123087609794638
SPY,2026-12-18,525.0,257.88,1.46,256.42,255.58319428640664,0.8368057135933782
SPY,2026-12-18,530.0,253.01,1.525,251.48499999999999,250.64830378679062,0.8366962132093647
SPY,2026-12-18,535.0,248.15,1.5950000000000002,246.555,245.7134132871746,0.8415867128254035
